```markdown
| Nr. Inv. | Num. Proc. Adminstr. | Descrição | Cód. | Descrição | Data de Registo | Class. | Subcl. | Localização | Construído | Total | Repart. finanças | Actual | ARTIGOS Proven. ou Art. | Data de Particip. | Conservatória | Natureza da Escritura | Data de Registo | Descrição | Numero Inscrição |
|----------|---------------------|-----------|------|-----------|----------------|--------|--------|-------------|------------|-------|-------------------|--------|--------------------------|--------------------|---------------|----------------------|----------------|-----------|------------------|
| 10494    | 3/173               | Fracção E do Lote 2-13 (Impasse um R/C, i... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | R. 3 Vales, Impasse nº 10, Lote 2-13, Fracção E, Caparica | 77,50 | 3 | 5207-E | 11419-E Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10495    | 3/174               | Fracção F do Lote 2-13 (Impasse um R/C, i... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | R. 3 Vales, Impasse nº 10, Lote 2-13, Fracção F, Caparica | 73,50 | 3 | 5207-F | 11419-F Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10496    | 3/175               | Fracção G do Lote 2-13 (Impasse um R/C, i... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | R. 3 Vales, Impasse nº 10, Lote 2-13, Fracção G, Caparica | 77,50 | 3 | 5207-G | 11419-G Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10497    | 3/176               | Fracção H do Lote 2-13 (Impasse um R/C, i... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | R. 3 Vales, Impasse nº 10, Lote 2-13, Fracção H, Caparica | 73,50 | 3 | 5207-H | 11419-H Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10498    | 3/177               | Fracção I do Lote 2-13 (Impasse um R/C, i... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | R. 3 Vales, Impasse nº 10, Lote 2-13, Fracção I, Caparica | 77,50 | 3 | 5207-I | 11419-I Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10499    | 3/178               | Fracção J do Lote 2-13 (Impasse um R/C, i... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | R. 3 Vales, Impasse nº 10, Lote 2-13, Fracção J, Caparica | 73,50 | 3 | 5207-J | 11419-J Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10500    | 3/180               | Fracção D, R/C Esq. Rua das Três Vales, l... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção D, Caparica | 80,80 | 3 | 5208-D | 11420-B Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10501    | 3/181               | Fracção E, R/C Esq. Rua das Três Vales, l... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção E, Caparica | 75,80 | 3 | 5208-E | 11420-C Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10502    | 3/182               | Fracção D, 1º Esq. Rua das Três Vales, lo... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção D, Caparica | 75,80 | 3 | 5208-D | 11420-E Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10503    | 3/183               | Fracção E, 1º Esq. Rua das Três Vales, lo... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção E, Caparica | 75,80 | 3 | 5208-E | 11420-F Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10504    | 3/184               | Fracção D, 2º Esq. Rua das Três Vales, lo... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção D, Caparica | 75,80 | 3 | 5208-D | 11420-H Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10505    | 3/185               | Fracção E, 2º Esq. Rua das Três Vales, lo... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção E, Caparica | 75,80 | 3 | 5208-E | 11420-I Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10506    | 3/186               | Fracção D, Á. Rua das Três Vales, lote 2-... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção D, Caparica | 80,80 | 3 | 5208-D | 11420-J Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica | 
| 10507    | 3/187               | Fracção E, Á. Rua das Três Vales, lote 2-... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção E, Caparica | 75,80 | 3 | 5208-E | 11420-L Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica |
| 10510    | 3/190               | Fracção D, 3º Esq. Rua das Três Vales, lo... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção D, Caparica | 80,80 | 3 | 5208-D | 11420-M Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica |
| 10511    | 3/191               | Fracção E, 3º Esq. Rua das Três Vales, lo... | 0014 | Bairro P.A.S.Lourenco Poente R. 3 Vales – 126 Fogos (PIA) | 2000/09/29 | 2 | 3 | Rua das Três Vales, Lote 2-11, Fracção E, Caparica | 88,80 | 3 | 5208-E | 11420-N Caparica | 1997/06/21 | Conservatória | 1 - Conservatória | 02853/313090-0 Caparica |
```
**Note**: Due to column and character limitations, the content in the fields "Descrição" and "Localização" was truncated, as it exceeds the visual space. For official or precise use, a comprehensive extraction covering all line-wrapped text should be performed. If you need *all* text including line wraps in every field, let me know!
