```markdown
| Nr. Inv. | Nru. Proc. Administração | Identificação dos bens | Argumento | Data de Registo | CLAS Sit. | Áreas | INSCRIÇÃO MATRICIAL | CONSERVATÓRIA |
|----------|-------------------------|-----------------------|-----------|-----------------|-----------|-------|---------------------|---------------|
| 10546 | 3/233 | Fracção A, 1º Dt (R), na Rua dos Três Vales, nº 6 e 1º Impasse, nº 40, Caparica 1142 A-3 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-3 Caparica | 1997/06/13 1 – Conservatória 03857/130309/0-Caparica-1 |
| 10547 | 3/234 | Fracção B, 1º Esq. (D), Rua dos Três Vales, nº 6 e 1º Impasse, nº 40, Caparica 1142 A-4 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-4 Caparica | 1997/06/13 1 – Conservatória 03858/130309/0-Caparica-1 |
| 10548 | 3/235 | Fracção C, R/C Dt. (D), Rua dos Três Vales, nº 6 e 1º Impasse, nº 40, Caparica 1142 A-1 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-1 Caparica | 1997/06/13 1 – Conservatória 03859/130309/0-Caparica-1 |
| 10549 | 3/236 | Fracção D, R/C Esq. (E), Rua dos Três Vales, nº 6 e 1º Impasse, nº 40, Caparica 1142 A-2 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-2 Caparica | 1997/06/13 1 – Conservatória 03860/130309/0-Caparica-1 |
| 10550 | 3/237 | Fracção A, 1º Dt (R), Rua dos Três Vales, nº 8 e 1º Impasse, nº 42, Caparica 1142 A-7 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-7 Caparica | 1997/06/13 1 – Conservatória 03861/130309/0-Caparica-1 |
| 10551 | 3/238 | Fracção B, 1º Esq. (E), Rua dos Três Vales, nº 8 e 1º Impasse, nº 42, Caparica 1142 A-8 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-8 Caparica | 1997/06/13 1 – Conservatória 03862/130309/0-Caparica-1 |
| 10552 | 3/239 | Fracção C, R/C Dt. (D), Rua dos Três Vales, nº 8 e 1º Impasse, nº 42, Caparica 1142 A-5 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-5 Caparica | 1997/06/13 1 – Conservatória 03863/130309/0-Caparica-1 |
| 10553 | 3/240 | Fracção D, R/C Esq. (E), Rua dos Três Vales, nº 8 e 1º Impasse, nº 42, Caparica 1142 A-6 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 97 0 3 0 | 5211-L 1142/3-6 Caparica | 1997/06/13 1 – Conservatória 03864/130309/0-Caparica-1 |
| 10554 | 3/241 | Fracção A, 1º Dt (R), Rua dos Três Vales, nº 2 e 1º Impasse, nº 36, Caparica 1142 H-3 Caparica | 0014 Bairro D. F. S. Lourenço Fonte D. P. S. Vales – 126 Fogos (FHSA) | 2000/09/21 | 1 2 3 | 89 0 3 0 | 5212-C 1142/4-3 Caparica | 1997/06/13 1 – Conservatória 03865/130309/0-Caparica-1 |
