```markdown
| Nr. Inv. | Num. Proc. Administr. | Identificação dos bens - Descrição | Gd. | Argumento - Descrição | Data de Registo | Sit. | Clas | Áreas - Localização | Construída | Total | INSCRIÇÃO MATRICIAL - Repart. Actual | INSCRIÇÃO MATRICIAL - Artigos Proven do Art. | INSCRIÇÃO MATRICIAL - Data de Particip. | CONSERVATÓRIA - Conservatória | CONSERVATÓRIA - Natureza da Escritura | CONSERVATÓRIA - Data de Registo | CONSERVATÓRIA - Descrição | CONSERVATÓRIA - Número Inscrição |
|---------|----------------------|--------------------------------------|-----|----------------------|----------------|------|------|---------------------|------------|-------|----------------------|--------------------------|-------------------------------|-------------------------|--------------------------|----------------------|-----------------------------|---------------------|
| 10643   | 5/188                | Prédio nº 8, Praça Salvador José, Bairro 38 Av. de Costa da Caparica | 031 | Bairro 38, Av. de Costa da Caparica | 2000/09/20 | 2 | 3 | Praça Salvador José, Bairro 38, Av. Costa de Caparica, Costa de Caparica | 130.00 | 130.00 | 3933 | 3933 | | 2.ª Conservatória | | | 2547/124034 Costa da Caparica | Reg- |
| 10644   | 5/109                | Grupo de casas, Bairro Velho dos Pescadores | 001 | Bairro 38, Bairro Velho dos Pescadores, Costa de Caparica | 2000/09/20 | 2 | 3 | Bairro 38, Bairro Velho dos Pescadores, Costa de Caparica, Costa de Caparica | 45.00 | 45.00 | 3931 | 3931 | | 2.ª Conservatória | | | 2547, 184, B-15 | Reg- |
| 10645   | 5/102                | Prédio nº 7, Pça Salvador José, Bairro 38, Costa de Caparica | 031 | Bairro 38, Av. Costa da Caparica | 2000/09/20 | 2 | 3 | Praça Salvador José, Bairro 38, Av. Costa de Caparica | 48.33 | 48.33 | 3981 | 3981 | | 2.ª Conservatória | | | Reg- | Reg- |
| 10646   | 5/73                 | Edifício A, Pça Gda, Av. 3/B, Bairro 041 Costa da Caparica | 041 | Bairro 38, Av. Costa da Caparica | 2000/09/20 | 2 | 3 | Praça de Gda, Av. 3/B, Bairro 041, Costa da Caparica | 112.00 | 112.00 | 3985 | 3985 | | 2.ª Conservatória | | | Reg- | Reg- |
| 10647   | 5/106                | Edifício C, Pça Gda, Av. 3/B Bairro 043 Costa de Caparica | 043 | Bairro 38, Av. Costa da Caparica | 2000/09/20 | 2 | 3 | Praça da Gda, Av. 3/B, Bairro 043, Costa de Caparica | 150.00 | 150.00 | 3987 | 3987 | | 2.ª Conservatória | | | Reg- | Reg- |
| 10648   | 5/106                | Casa Nº 30, Bairro Velho dos Pescadores, | 005 | Bairro 38, Bairro Velho dos Pescadores, Costa de Caparica | 2000/09/20 | 2 | 3 | Rua Mestre de Arruda, Bairro Velho dos Pescadores, Costa de Caparica | | | 656 | 656 | | 2.ª Conservatória | | | Reg- | Reg- |
| 10649   | 5/100                | Casa Nº 28, Bairro Velho dos Pescadores, | 001 | Bairro 38, Bairro Velho dos Pescadores, Costa de Caparica | 2000/09/20 | 2 | 3 | Bairro Velho dos Pescadores, Costa de Caparica | | | 656 | 656 | | 2.ª Conservatória | | | Reg- | Reg- |
| 10650   | 5/102                | Casa M, Bairro Velho dos Pescadores, | 001 | Bairro Velho dos Pescadores, Costa de Caparica | 2000/09/20 | 2 | 3 | Bairro Velho dos Pescadores, Costa de Caparica | | | 656 | 656 | | 2.ª Conservatória | | | Reg- | Reg- |
| 10651   | 7/103                | Edifício n.º A, Av. Professor Ruy Luís Gomes, Laranjeiro | 028 | Bairro do Feijó, Laranjeiro | 2000/09/20 | 2 | 3 | Av. Professor Ruy Luís Gomes, Laranjeiro | 2.00 | 2.00 | 1894 | 1770 | | 2.ª Conservatória | | | 00118/21085 Laranjeiro-C-3 |  |
| 10652   | 7/104                | Edifício n.º A, Rua Teófilo Braga, n.º 106 (BLOCO A), Av. 22-B, Laranjeiro | 038 | Bairro Rua Teófilo Braga (Laranjeiro) | 2000/09/20 | 2 | 3 | Rua Teófilo Braga, Nº 106, Laranjeiro | 4.00 | 4.00 | 2990 | 2013 Laranjeiro | 1975/06/05 | 2.ª Conservatória | | | 00840/91827 Laranjeiro-C-1 |  |
| 10653   | 7/105                | Edifício B, Rua Teófilo Braga, n.º 118 (BLOCO B), Av. 22-B, Laranjeiro | 038 | Bairro Rua Teófilo Braga (Laranjeiro) | 2000/09/20 | 2 | 3 | Rua Teófilo Braga, Nº 118, Laranjeiro | 2.00 | 2.00 | 2126 | 1343 Laranjeiro | 1975/06/05 | 2.ª Conservatória | | | 00840/91827 Laranjeiro-C-1 |  |
| 10654   | 7/106                | Edifício C, Rua Teófilo Braga, n.º 138, Av. 22-B, Laranjeiro | 038 | Bairro Rua Teófilo Braga (Laranjeiro) | 2000/09/20 | 2 | 3 | Rua Teófilo Braga, Nº 138, Laranjeiro | 2.00 | 2.00 | 2692 | 2015 Laranjeiro | 1975/06/05 | 2.ª Conservatória | | | 00840/91827 Laranjeiro-C-1 |  |
| 10655   | 7/107                | Edifício D, Rua Teófilo Braga, n.º 148, Av. 22-B, Laranjeiro | 038 | Bairro Rua Teófilo Braga (Laranjeiro) | 2000/09/20 | 2 | 3 | Rua Teófilo Braga, Nº 148, Laranjeiro | 2.00 | 2.00 | 2984 | 2016 Laranjeiro | 1975/06/05 | 2.ª Conservatória | | | 00840/91827 Laranjeiro-C-1 |  |
| 10656   | 7/108                | Edifício E, Rua Teófilo Braga, n.º 158, Av. 22-B, Laranjeiro | 038 | Bairro Rua Teófilo Braga (Laranjeiro) | 2000/09/20 | 2 | 3 | Rua Teófilo Braga, Nº 158, Laranjeiro | 2.00 | 2.00 | 2986 | 2017 Laranjeiro | 1975/06/05 | 2.ª Conservatória | | | 00840/91827 Laranjeiro-C-1 |  |
| 10657   | 7/109                | Edifício F, Rua Teófilo Braga, n.º 172, Av. 22-B, Laranjeiro | 038 | Bairro Rua Teófilo Braga (Laranjeiro) | 2000/09/20 | 2 | 3 | Rua Teófilo Braga, Nº 172, Laranjeiro | 2.00 | 2.00 | 2998 | 2018 Laranjeiro | 1976/06/10 | 2.ª Conservatória | | | 00840/91827 Laranjeiro-C-1 |  |
| 10660   | 7/110                | Edifício n.º 2, Rua Almada Negreiros, Quinta do Chegadinho | 028 | Bairro Rua Almada Negreiros (Quinta do Chegadinho) | 2000/09/20 | 2 | 3 | Rua Almada Negreiros, Nº 2, Laranjeiro | 2.00 | 2.00 | 4475 | 5519 Cova da Piedade | | 2.ª Conservatória | | | 02004/96005 Laranjeiro |  |
| 10661   | 7/151                | Edifício n.º 12, Rua Almada Negreiros, Quinta do Chegadinho | 028 | Bairro Rua Almada Negreiros (Quinta do Chegadinho) | 2000/09/20 | 2 | 3 | Rua Almada Negreiros, Nº 12, Laranjeiro | 985.00 | 985.00 | 4476 | 1799 e 5520 Cova da Piedade | 1975/06/10 | 2.ª Conservatória | | | 02801/86005 Laranjeiro |  |
```
If you need more rows or a different formatting, let me know!
