```markdown
| Nº Imóv. | Nº Pro. Administr. | Descrição | Gd. | Descrição | Data de Registo | Clas. Nt. | St. | Localização | Construída | Total | Repart. Finanças | Actual | ARTIGOS Proveio ou Art. | Data de Particip. | Conservatória | Natureza da Escritura | Data de Registo | Descrição | Número Inscrição |
|----------|--------------------|-----------|-----|-----------|------------------|-----------|-----|-------------|------------|-------|--------------------|--------|-------------------------|-------------------|--------------|----------------------|-----------------|-----------|-------------------|
| 20713 | 4188 | Lote 19, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 200.00 | 435.00 | 3 | 15339 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20714 | 4189 | Lote 18, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 200.00 | 435.00 | 3 | 15334 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20715 | 4190 | Lote 17, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 200.00 | 435.00 | 3 | 15413 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20716 | 4191 | Lote 16, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 200.00 | 435.00 | 3 | 15405 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20717 | 4192 | Lote 15, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 176.00 | 435.00 | 3 | 15407 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20718 | 4193 | Lote 14, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 176.00 | 435.00 | 3 | 15288 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20719 | 4194 | Lote 13, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 200.00 | 435.00 | 3 | 15299 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20720 | 4195 | Lote 12, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 200.00 | 435.00 | 3 | 15300 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20721 | 4196 | Lote 11, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 200.00 | 435.00 | 3 | 13300 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20722 | 4197 | Lote 10, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 220.00 | 435.00 | 3 | 133001 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20723 | 4198 | Lote 9, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 186.00 | 435.00 | 3 | 13304 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20724 | 4199 | Lote 8, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 186.00 | 435.00 | 3 | 13324 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20725 | 4200 | Lote 7, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 220.00 | 435.00 | 3 | 15278 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05856/940402 Charneca de Caparica | G-1 |
| 20726 | 4201 | Lote 22, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 180.00 | 435.00 | 3 | 15305 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05857/940402 Charneca de Caparica | G-1 |
| 20727 | 4202 | Lote 23, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 178.00 | 435.00 | 3 | 15352 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05857/940402 Charneca de Caparica | G-1 |
| 20728 | 4203 | Lote 24, Lote 33, Qtas de S. Macário, Charneca de Caparica |   |   | 2000/09/19 | 93 | 1 | Qtas S. Macário, Charneca de Caparica | 178.00 | 435.00 | 3 | 13337 | 24, P, Caparica |   | 2ª Conservatória | 2ª Conservatória |   | 05857/940402 Charneca de Caparica | G-1 |
